state,date,infections,,,,,,,,,,,,,,,,,,,,
Connecticut,11/15/20,6387.944725,,,,,,,,,,,,,,,,,,,,
Connecticut,11/16/20,6553.838906,,,,,,,,,,,,,,,,,,,,
Connecticut,11/17/20,6714.683915,,,,,,,,,,,,,,,,,,,,
Connecticut,11/18/20,6869.975907,,,,,,,,,,,,,,,,,,,,
Connecticut,11/19/20,7019.169882,,,,,,,,,,,,,,,,,,,,
Connecticut,11/20/20,7161.663565,,,,,,,,,,,,,,,,,,,,
Connecticut,11/21/20,7296.791532,,,,,,,,,,,,,,,,,,,,
Connecticut,11/22/20,7423.822933,,,,,,,,,,,,,,,,,,,,
Connecticut,11/23/20,7541.96064,,,,,,,,,,,,,,,,,,,,
Connecticut,11/24/20,7650.373052,,,,,,,,,,,,,,,,,,,,
Connecticut,11/25/20,7748.331652,,,,,,,,,,,,,,,,,,,,
Connecticut,11/26/20,7835.259884,,,,,,,,,,,,,,,,,,,,
Connecticut,11/27/20,7910.746401,,,,,,,,,,,,,,,,,,,,
Connecticut,11/28/20,7974.555431,,,,,,,,,,,,,,,,,,,,
Connecticut,11/29/20,8026.646024,,,,,,,,,,,,,,,,,,,,
Connecticut,11/30/20,8067.246481,,,,,,,,,,,,,,,,,,,,
Connecticut,12/1/20,8096.88151,,,,,,,,,,,,,,,,,,,,
Connecticut,12/2/20,8116.369507,,,,,,,,,,,,,,,,,,,,
Connecticut,12/3/20,8126.81512,,,,,,,,,,,,,,,,,,,,
Connecticut,12/4/20,8129.583108,,,,,,,,,,,,,,,,,,,,
Connecticut,12/5/20,8126.163898,,,,,,,,,,,,,,,,,,,,
Connecticut,12/6/20,8118.101885,,,,,,,,,,,,,,,,,,,,
Connecticut,12/7/20,8106.983803,,,,,,,,,,,,,,,,,,,,
Connecticut,12/8/20,8094.430094,,,,,,,,,,,,,,,,,,,,
Connecticut,12/9/20,8082.07388,,,,,,,,,,,,,,,,,,,,
Connecticut,12/10/20,8071.382806,,,,,,,,,,,,,,,,,,,,
Connecticut,12/11/20,8063.548512,,,,,,,,,,,,,,,,,,,,
Connecticut,12/12/20,8059.488941,,,,,,,,,,,,,,,,,,,,
Connecticut,12/13/20,8059.852667,,,,,,,,,,,,,,,,,,,,
Connecticut,12/14/20,8065.019899,,,,,,,,,,,,,,,,,,,,
Connecticut,12/15/20,8075.062579,,,,,,,,,,,,,,,,,,,,
Connecticut,12/16/20,8089.708542,,,,,,,,,,,,,,,,,,,,
Connecticut,12/17/20,8108.336796,,,,,,,,,,,,,,,,,,,,
Connecticut,12/18/20,8129.97149,,,,,,,,,,,,,,,,,,,,
Connecticut,12/19/20,8153.278483,,,,,,,,,,,,,,,,,,,,
Connecticut,12/20/20,8176.670177,,,,,,,,,,,,,,,,,,,,
Connecticut,12/21/20,8198.4258,,,,,,,,,,,,,,,,,,,,
Connecticut,12/22/20,8216.699139,,,,,,,,,,,,,,,,,,,,
Connecticut,12/23/20,8229.524265,,,,,,,,,,,,,,,,,,,,
Connecticut,12/24/20,8234.828956,,,,,,,,,,,,,,,,,,,,
Connecticut,12/25/20,8230.575968,,,,,,,,,,,,,,,,,,,,
Connecticut,12/26/20,8214.965354,,,,,,,,,,,,,,,,,,,,
Connecticut,12/27/20,8186.472017,,,,,,,,,,,,,,,,,,,,
Connecticut,12/28/20,8143.867519,,,,,,,,,,,,,,,,,,,,
Connecticut,12/29/20,8086.238701,,,,,,,,,,,,,,,,,,,,
Connecticut,12/30/20,8013.037008,,,,,,,,,,,,,,,,,,,,
Connecticut,12/31/20,7924.151756,,,,,,,,,,,,,,,,,,,,
Connecticut,1/1/21,7819.90949,,,,,,,,,,,,,,,,,,,,
Connecticut,1/2/21,7701.054314,,,,,,,,,,,,,,,,,,,,
Connecticut,1/3/21,7568.717578,,,,,,,,,,,,,,,,,,,,
Connecticut,1/4/21,7424.342541,,,,,,,,,,,,,,,,,,,,
Connecticut,1/5/21,7269.551264,,,,,,,,,,,,,,,,,,,,
Connecticut,1/6/21,7106.09323,,,,,,,,,,,,,,,,,,,,
Connecticut,1/7/21,6935.808692,,,,,,,,,,,,,,,,,,,,
Connecticut,1/8/21,6760.592881,,,,,,,,,,,,,,,,,,,,
Connecticut,1/9/21,6582.322692,,,,,,,,,,,,,,,,,,,,
Connecticut,1/10/21,6402.697718,,,,,,,,,,,,,,,,,,,,
Connecticut,1/11/21,6223.210205,,,,,,,,,,,,,,,,,,,,
Connecticut,1/12/21,6045.151496,,,,,,,,,,,,,,,,,,,,
Connecticut,1/13/21,5869.621664,,,,,,,,,,,,,,,,,,,,
Connecticut,1/14/21,5697.529901,,,,,,,,,,,,,,,,,,,,
Connecticut,1/15/21,5529.556616,,,,,,,,,,,,,,,,,,,,
Connecticut,1/16/21,5366.161823,,,,,,,,,,,,,,,,,,,,
Connecticut,1/17/21,5207.610416,,,,,,,,,,,,,,,,,,,,
Connecticut,1/18/21,5053.996094,,,,,,,,,,,,,,,,,,,,
Connecticut,1/19/21,4905.267401,,,,,,,,,,,,,,,,,,,,
Connecticut,1/20/21,4761.27161,,,,,,,,,,,,,,,,,,,,
Connecticut,1/21/21,4621.778653,,,,,,,,,,,,,,,,,,,,
Connecticut,1/22/21,4486.493058,,,,,,,,,,,,,,,,,,,,
Connecticut,1/23/21,4355.064788,,,,,,,,,,,,,,,,,,,,
Connecticut,1/24/21,4227.103913,,,,,,,,,,,,,,,,,,,,
Connecticut,1/25/21,4102.231102,,,,,,,,,,,,,,,,,,,,
Connecticut,1/26/21,3980.101158,,,,,,,,,,,,,,,,,,,,
Connecticut,1/27/21,3860.40168,,,,,,,,,,,,,,,,,,,,
Connecticut,1/28/21,3742.851694,,,,,,,,,,,,,,,,,,,,
Connecticut,1/29/21,3627.202094,,,,,,,,,,,,,,,,,,,,
Connecticut,1/30/21,3513.255383,,,,,,,,,,,,,,,,,,,,
